id;event_source_id;bet_type_param;koef;home;away;league;event_name;started_at;updated_at;bet_burger_id;state;amount_bet;amount_bet_win;bet_result_type
1;31540;28311.59;17961.19;trick gah;vivid complete shameless;heavily rinse;anchovy an savage;2024-04-10T12:42:55;2024-04-10T08:06:02;misapply pish;SENDING;16900.7;26284.85;WIN
2;2328;563.43;9254.01;er times direct;anenst;worriedly;phooey and;2024-04-10T04:23:47;2024-04-10T06:41:34;once fish false;ERROR;28570.36;12032.34;LOSE
3;23287;12071.51;10375.56;dearest by;showy big-hearted unimportant;discolor admired;parallelogram;2024-04-09T22:11:41;2024-04-10T03:38:59;fortunately oh before;SENDING;28354.45;21772.36;WIN
4;28733;15389.53;22953.01;till likewise;but;psst outlandish;fortify ew underneath;2024-04-09T22:43:23;2024-04-10T00:46:17;volatility;CONFIRMED;21930.77;31462.51;WIN
5;21442;310.39;22072.61;likewise;e-reader smoking er;terribly suspend blah;pace how kindly;2024-04-10T18:32:44;2024-04-10T14:07:47;anenst aha;SENDING;18129.89;17928.68;LOSE
6;30567;16866.4;15683.92;brr disastrous;stopsign times yippee;aside after unlined;forenenst sweetly glow;2024-04-10T05:48:40;2024-04-10T15:48:03;beneath;SENDING;31149.79;19884.27;WIN
7;20210;3497.56;1880.05;woefully;excluding;preserves;psst ouch;2024-04-09T22:28:11;2024-04-10T05:49:19;physically legitimate;ERROR;28473.63;18801.17;LOSE
8;5215;6210.8;10633.41;mid accidentally anenst;prohibition ratio as;unwieldy destroy oof;skiing slider beautifully;2024-04-10T18:49:44;2024-04-09T22:01:31;abaft;ERROR;6780.84;23462.9;WIN
9;20394;2190.09;29273.01;furthermore;check easy-going smile;geez;glitter as;2024-04-10T11:12:25;2024-04-10T02:28:05;sic beneath;SENDED;12602;28049.65;LOSE
10;21619;17755.89;27989.4;opportunity consequently pfft;confer against;quixotic now;studio;2024-04-10T20:00:05;2024-04-10T14:10:25;circle;ERROR;3787.59;24770.88;LOSE
