id;home;away;league;event_name;bookmaker_event_id;bet_type_param;koef_last_modified_at;scanned_at;started_at;updated_at;bet_burger_id;koef
1;gadzooks unless and;taxi before discolor;exactly;pace;29370;24293.64;2024-04-10T08:32:40;2024-04-10T07:36:57;2024-04-09T22:03:13;2024-04-10T19:29:08;scorpion spherical;25744.39
2;vermicelli;ouch;harmonious shocked unlike;shampoo lest whoa;7488;31698.99;2024-04-10T03:58:56;2024-04-10T00:46:53;2024-04-10T17:54:26;2024-04-10T16:18:04;bah boastfully;1503.04
3;astride;anniversary ha;means against for;in dance;10282;25318.24;2024-04-10T08:48:27;2024-04-10T20:06:36;2024-04-10T17:51:15;2024-04-10T08:34:12;who;13401.35
4;mother-in-law possibility;hm er esteemed;microblog softly;except of;2;10285.22;2024-04-09T21:15:07;2024-04-10T18:24:32;2024-04-09T22:29:16;2024-04-10T18:40:50;beside uh-huh;2191.34
5;bah consequently cygnet;indemnify;fooey whoever uh-huh;boo within without;3550;25623.02;2024-04-09T23:34:14;2024-04-10T15:39:25;2024-04-10T11:44:16;2024-04-10T10:01:03;from thistle guard;17319.96
6;jaggedly;jellyfish if bah;glossy too;if fair;16151;2898.29;2024-04-10T10:53:34;2024-04-10T12:36:45;2024-04-10T18:17:29;2024-04-10T13:44:51;good astride;1883.54
7;actually nor slowly;tomorrow;mill catch;innocent truly plaintive;5951;2077.25;2024-04-10T10:04:39;2024-04-10T14:59:37;2024-04-10T05:54:10;2024-04-10T04:17:38;throughout gadzooks;7680.28
8;um;used youthful complement;guerrilla until times;decoy;11731;21374.53;2024-04-10T04:17:21;2024-04-10T12:21:02;2024-04-10T10:18:30;2024-04-10T00:39:26;shade;25470.29
9;homonym ick;outmaneuver during croak;yowza behind;unnecessarily;31913;5047.05;2024-04-10T08:44:31;2024-04-10T00:06:20;2024-04-10T09:03:59;2024-04-10T17:20:44;numb energetically curio;16911.96
10;so hypnotize than;aha ridge;parachute yowza;after;14217;1386.63;2024-04-10T01:34:42;2024-04-10T16:43:23;2024-04-10T16:43:11;2024-04-10T04:32:03;toward data;10790.18
